"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"12-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","BAJAJ SEVASHRAM PRIVATE LIMITED","BUY","4,27,000","1,395.00",
"12-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","4,27,000","1,395.00",
"17-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","MADHUR SECURITIES PRIVATE LIMITED","BUY","1,45,000","1,380.00",
"17-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","RAHUL SECURITIES PVT LTD","BUY","2,55,000","1,380.00",
"17-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","4,00,000","1,380.00",
"31-JAN-2023","JTLIND","JTL INDUSTRIES LIMITED","MOHINDER PAL","SELL","5,00,000","325.00",
"31-JAN-2023","JTLIND","JTL INDUSTRIES LIMITED","SINGLA ASHOK","BUY","5,00,000","325.00",
"01-FEB-2023","AUBANK","AU Small Finance Bank Ltd","MOTILAL OSWAL FINANCIAL SERVICES LIMITED","BUY","32,81,796","612.50",
"01-FEB-2023","AUBANK","AU Small Finance Bank Ltd","MOTILAL OSWAL FINVEST LIMITED","SELL","32,81,796","612.50",
"13-FEB-2023","DLF","DLF Limited","INVESCO GLOBAL FUND","BUY","34,36,281","361.50",
"13-FEB-2023","DLF","DLF Limited","INVESCO GLOBAL GROWTH FUND","SELL","34,36,281","361.50",
"14-FEB-2023","BAJAJ-AUTO","Bajaj Auto Limited","ABHAYKUMAR NAVALMAL FIRODIA","SELL","66,000","3,905.00",
"14-FEB-2023","BAJAJ-AUTO","Bajaj Auto Limited","JAYA HIND INDUSTRIES LIMITED","BUY","66,000","3,905.00",
"15-FEB-2023","BAJAJFINSV","Bajaj Finserv Limited","BAJAJ SEVASHRAM PRIVATE LIMITED","BUY","74,000","1,414.00",
"15-FEB-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","4,64,000","1,414.00",
"15-FEB-2023","BAJAJFINSV","Bajaj Finserv Limited","RUPA EQUITIES PRIVATE LIMITED","BUY","2,48,000","1,414.00",
"15-FEB-2023","BAJAJFINSV","Bajaj Finserv Limited","SHEKHAR HOLDINGS PVT LTD","BUY","1,42,000","1,414.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","AAKARSHAN ESTATES PRIVATE LIMITED","SELL","13,01,990","209.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","ANTARA INDIA EVERGREEN FUND LTD","SELL","11,55,015","209.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","JAINCO FINLEASE & INVESTMENT PRIVATE LIMITED","SELL","7,25,390","209.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","M2K ENTERTAINMENT PRIVATE LIMITED","SELL","10,85,990","209.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","MINDA CORPORATION LIMITED","BUY","78,57,744","209.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","RADHEY BUILDHOME PRIVATE LIMITED","SELL","7,20,000","209.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","STREAM VALUE FUND","SELL","16,92,492","209.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","UNIQUE FINMAN CONSULTANCY PRIVATE LIMITED","SELL","6,19,871","209.00",
"17-FEB-2023","PRICOLLTD","Pricol Limited","VIRTUE FINANCE LIMITED","SELL","5,56,996","209.00",
"01-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","BAJAJ SEVASHRAM PRIVATE LIMITED","BUY","5,58,000","1,350.00",
"01-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","HERCULES HOISTS LIMITED","BUY","1,85,000","1,350.00",
"01-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","RAJIVNAYAN BAJAJ","SELL","1,25,750","1,350.00",
"01-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","6,17,250","1,350.00",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","ACTIVE EMERGING MARKETS EQUITY FUND","BUY","11,13,801","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","AUSTRALIANSUPER","BUY","15,51,504","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","BBH GQG PARTNERS EMERGING MARKETS EQUITY MASTER FUND LP","BUY","11,91,995","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","CARE SUPER PTY LTD AS TRUSTEE FOR CARE SUPER","BUY","2,66,849","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","EMPLOYEES RETIREMENT SYSTEM OF TEXAS","BUY","1,56,710","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GENERAL ORGANIZATION FOR SOCIAL INSURANCE","BUY","5,76,382","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GOLDMAN SACHS TRUST II - GOLDMAN SACHS GQG PARTNERS INTERNATIONAL OPPORTUNITIES FUND","BUY","2,25,22,850","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GOLDMAN SACHS TRUST II - GOLDMAN SACHS MULTI-MANAGER ALTERNATIVES FUND","BUY","11,379","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","1,38,14,788","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","6,03,358","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SERIES OF GQG PARTNERS SERIES LLC","BUY","45,91,336","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SUB FUND OF GQG GLOBAL UCITS ICAV","BUY","22,51,791","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GQG PARTNERS INTERNATIONAL QUALITY EQUITY FUND","BUY","1,13,785","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","GSF II GOLDMAN SACHS GLOBAL MULTI MANAGER ALTERNATIVES PORTFOLIO (GQG PARTNERS LLC)","BUY","26,398","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","JNL/GQG EMERGING MARKETS EQUITY FUND","BUY","8,33,805","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","NEW YORK STATE COMMON RETIREMENT FUND","BUY","6,42,264","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN","BUY","27,57,210","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE","BUY","10,23,034","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","S.B. ADANI FAMILY TRUST","SELL","5,56,00,000","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","UNITED SUPER PTY LTD AS TRUSTEE FOR CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND","BUY","2,03,314","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","VANTAGETRUST III MASTER COLLECTIVE INVESTMENT FUNDS TRUST","BUY","2,68,534","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","WASHINGTON ST INVESTMENT BOARD MANAGED BY GQG PARTNERS LLC","BUY","9,28,763","504.60",
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","WITAN INVESTMENT TRUST PLC RE GQG PARTNERS LLC","BUY","1,50,150","504.60",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","ACTIVE EMERGING MARKETS EQUITY FUND","BUY","16,46,595","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","AUSTRALIANSUPER","BUY","22,93,677","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","BBH GQG PARTNERS EMERGING MARKETS EQUITY MASTER FUND LP","BUY","17,62,194","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","CARE SUPER PTY LTD AS TRUSTEE FOR CARE SUPER","BUY","3,94,498","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","EMPLOYEES RETIREMENT SYSTEM OF TEXAS","BUY","2,69,596","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GENERAL ORGANIZATION FOR SOCIAL INSURANCE","BUY","8,52,099","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GOLDMAN SACHS TRUST II - GOLDMAN SACHS GQG PARTNERS INTERNATIONAL OPPORTUNITIES FUND","BUY","3,87,47,180","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GOLDMAN SACHS TRUST II - GOLDMAN SACHS MULTI-MANAGER ALTERNATIVES FUND","BUY","18,344","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","8,91,979","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS EMERGING MARKETS EQUITY FUND","BUY","2,04,23,187","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SERIES OF GQG PARTNERS SERIES LLC","BUY","67,87,633","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS EMERGING MARKETS EQUITY FUND A SUB FUND OF GQG GLOBAL UCITS ICAV","BUY","33,28,951","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GQG PARTNERS INTERNATIONAL QUALITY EQUITY FUND","BUY","1,97,917","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","GSF II GOLDMAN SACHS GLOBAL MULTI MANAGER ALTERNATIVES PORTFOLIO (GQG PARTNERS LLC)","BUY","43,445","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","JNL/GQG EMERGING MARKETS EQUITY FUND","BUY","12,32,662","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","NEW YORK STATE COMMON RETIREMENT FUND","BUY","11,04,919","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN","BUY","47,43,366","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE","BUY","15,12,409","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","S.B. ADANI FAMILY TRUST","SELL","8,86,00,000","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","UNITED SUPER PTY LTD AS TRUSTEE FOR CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND","BUY","3,00,570","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","VANTAGETRUST III MASTER COLLECTIVE INVESTMENT FUNDS TRUST","BUY","4,53,760","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","WASHINGTON ST INVESTMENT BOARD MANAGED BY GQG PARTNERS LLC","BUY","13,73,043","596.20",
"02-MAR-2023","ADANIPORTS","ADANI PORT & SEZ LTD","WITAN INVESTMENT TRUST PLC RE GQG PARTNERS LLC","BUY","2,21,976","596.20",
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","ACTIVE EMERGING MARKETS EQUITY FUND","BUY","7,16,951","668.40",
"02-MAR-2023","ADANITRANS","Adani Transmission Ltd","AUSTRALIANSUPER","BUY","9,98,700","668.40",
