"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"15-JAN-2009","BHARTIARTL","Bharti Airtel Limited","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","11,07,516","600.50",
"15-JAN-2009","BHARTIARTL","Bharti Airtel Limited","SWISS FINANCE CORPORATION (MAURITIUS) LIMITED","BUY","11,07,516","600.50",
"15-JAN-2009","ITC","ITC Ltd.","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","27,43,900","167.00",
"15-JAN-2009","ITC","ITC Ltd.","SWISS FINANCE CORPORATION (MAURITIUS) LIMITED","BUY","27,43,900","167.00",
"29-JAN-2009","TRIVENI","Triveni Engineering & Ind","DHANKARI INVESTMENTS LTD","BUY","7,10,000","48.50",
"29-JAN-2009","TRIVENI","Triveni Engineering & Ind","TOFSL TRADING AND INVESTMENTS","SELL","7,10,000","48.50",
"04-MAR-2009","SUNFLAG","Sunflag Iron And Steel Co","CHARANJIV DHAWAN","SELL","17,00,000","10.50",
"04-MAR-2009","SUNFLAG","Sunflag Iron And Steel Co","SUPRA CORPORATION  LIMITED","BUY","17,00,000","10.50",
"05-MAR-2009","BHARTIARTL","Bharti Airtel Limited","CARNEGIE FUND","BUY","4,15,689","601.00",
"05-MAR-2009","BHARTIARTL","Bharti Airtel Limited","DEUTSCHE SECURITIES MAURITIUS LIMITED","SELL","4,15,689","601.00",
"13-MAR-2009","NIITLTD","NIIT Limited","GLOBAL SOLUTIONS P LTD","BUY","6,48,398","15.50",
"13-MAR-2009","NIITLTD","NIIT Limited","IT INFRASTRUCTURE DEVELOPMENT CORPORATION LTD","SELL","9,62,500","15.10",
"13-MAR-2009","NIITLTD","NIIT Limited","NYARA HOLDINGS PVT LTD","SELL","13,98,750","15.39",
"13-MAR-2009","NIITLTD","NIIT Limited","PACE INDUSTRIES PRIVATE LIMITED","SELL","7,80,972","15.90",
"13-MAR-2009","NIITLTD","NIIT Limited","PACE SERVICES LTD","BUY","32,88,824","15.34",
"13-MAR-2009","NIITLTD","NIIT Limited","SILICO BIO INFORMATICS LTD","SELL","7,95,000","15.10",
"17-MAR-2009","MBECL","Mcnally Bharat Engineerin","NATIONAL BEARING CO. (JAIPUR) LIMITED","BUY","6,19,100","32.00",
"17-MAR-2009","MBECL","Mcnally Bharat Engineerin","UNIVERSAL TRADING COMPANY LTD.","SELL","6,19,100","32.00",
"23-MAR-2009","PTL","PTL Enterprises Limited","CONSTRUCTIVE FINANCE PRIVATE LIMITED","SELL","1,18,00,000","7.10",
"23-MAR-2009","PTL","PTL Enterprises Limited","SUNRAYS PROPERTIES & INVESTMENT CO PVT LTD","BUY","1,18,00,000","7.10",
"24-MAR-2009","SUNFLAG","Sunflag Iron And Steel Co","CHARANJIV DHAWAN","SELL","10,28,522","12.90",
"24-MAR-2009","SUNFLAG","Sunflag Iron And Steel Co","SUPRA CORPORATION  LIMITED","BUY","10,28,522","12.90",
"31-MAR-2009","INDUSINDBK","IndusInd Bank Ltd.","AMAS MAURITIUS LTD","SELL","30,66,065","32.00",
"31-MAR-2009","INDUSINDBK","IndusInd Bank Ltd.","KII LTD.","BUY","30,66,065","32.00",
"19-MAY-2009","BLUEDART","Blue Dart Express Ltd","BRIGHT STAR INVESTMENTS PRIVATE LIMITED","BUY","5,00,000","450.00",
"19-MAY-2009","BLUEDART","Blue Dart Express Ltd","DERIVE TRADING PVT LTD","SELL","5,00,000","450.00",
"21-MAY-2009","RELIANCE","Reliance Industries Ltd","FIDELITY SHARES AND SECURITIES PRIVATE LIMITED","SELL","5,30,000","2,160.00",
"21-MAY-2009","RELIANCE","Reliance Industries Ltd","KDA ENTERPRISES PRIVATE LIMITED","BUY","5,30,000","2,160.00",
"21-MAY-2009","RPL","Reliance Petroleum Limite","FIDELITY SHARES AND SECURITIES PRIVATE LIMITED","SELL","52,00,000","134.00",
"21-MAY-2009","RPL","Reliance Petroleum Limite","GURUVAS TEXTILES PVT.LTD.","BUY","52,00,000","134.00",
"21-MAY-2009","SUNDARMFIN","Sundaram Finance Ltd.","BRIGHT STAR INVESTMENTS PRIVATE LIMITED","BUY","4,00,000","255.00",
"21-MAY-2009","SUNDARMFIN","Sundaram Finance Ltd.","DERIVE TRADING PVT LTD","SELL","4,00,000","255.00",
"29-MAY-2009","TUBEINVEST","Tube Investments Ltd","MARUICHI STEEL TUBE LIMITED","BUY","20,00,000","44.05",
"29-MAY-2009","TUBEINVEST","Tube Investments Ltd","UTI MUTUAL FUND-UT042","SELL","20,00,000","44.05",
"24-JUN-2009","USHAMART","Usha Martin Limited","BRIJ INVESTMENTS PVT.LTD.","SELL","13,45,000","54.00",
"24-JUN-2009","USHAMART","Usha Martin Limited","PRAJEEV INVESTMENTS LIMITED","BUY","13,45,000","54.00",
"24-JUN-2009","USHAMART","Usha Martin Limited","PRAJEEV INVESTMENTS LTD","BUY","13,45,000","54.00",
"24-JUN-2009","USHAMART","Usha Martin Limited","PRASHANT INVESTMENTS LIMITED","SELL","13,45,000","54.00",
"25-JUN-2009","ACC","ACC Limited","BARCLAYS GLOBAL INVESTOR N A ISHARES BSE SENSEX MAURITIUS CO","BUY","71,484","769.00",
"25-JUN-2009","ACC","ACC Limited","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","71,484","769.00",
"25-JUN-2009","BHARTIARTL","Bharti Airtel Limited","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","4,54,656","800.00",
"25-JUN-2009","BHARTIARTL","Bharti Airtel Limited","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","4,54,656","800.00",
"25-JUN-2009","BHEL","Bharat Heavy Elect Ltd.","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","1,18,104","2,215.00",
"25-JUN-2009","BHEL","Bharat Heavy Elect Ltd.","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","1,18,104","2,215.00",
"25-JUN-2009","DLF","DLF Limited","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","2,93,706","323.00",
"25-JUN-2009","DLF","DLF Limited","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","2,93,706","323.00",
"25-JUN-2009","HDFC","HDFC Ltd.","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","1,75,824","2,330.00",
"25-JUN-2009","HDFC","HDFC Ltd.","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","1,75,824","2,330.00",
"25-JUN-2009","HDFCBANK","HDFC Bank Ltd.","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","2,48,640","1,470.00",
"25-JUN-2009","HDFCBANK","HDFC Bank Ltd.","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","2,48,640","1,470.00",
"25-JUN-2009","HINDALCO","Hindalco Ind Ltd.","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","7,69,230","84.70",
"25-JUN-2009","HINDALCO","Hindalco Ind Ltd.","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","7,69,230","84.70",
"25-JUN-2009","HINDUNILVR","Hindustan Unilever Ltd","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","7,49,250","263.00",
"25-JUN-2009","HINDUNILVR","Hindustan Unilever Ltd","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","7,49,250","263.00",
"25-JUN-2009","ICICIBANK","ICICI Bank Ltd.","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","7,64,790","701.00",
"25-JUN-2009","ICICIBANK","ICICI Bank Ltd.","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","7,64,790","701.00",
"25-JUN-2009","INFOSYSTCH","Infosys Tech Ltd.","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","3,34,554","1,775.00",
"25-JUN-2009","INFOSYSTCH","Infosys Tech Ltd.","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","3,34,554","1,775.00",
"25-JUN-2009","ITC","ITC Ltd.","BARCLAYS GLOBAL INVESTOR NA ISHARES BSE SENSEX MAURITIUS CO","BUY","18,15,738","201.00",
"25-JUN-2009","ITC","ITC Ltd.","CITIGROUP GLOBAL MKTS MAURITIUS PVT LTD- SELL CODE","SELL","18,15,738","201.00",
