"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"04-JAN-2016","SFCL","Star Ferro & Cement Ltd.","KANTA  AGARWAL","BUY","4,25,000","128.50",
"04-JAN-2016","SFCL","Star Ferro & Cement Ltd.","SHYAM METALICS AND ENERGY LIMITED","SELL","4,25,000","128.50",
"06-JAN-2016","UBL","United Breweries Limited","ICICI BANK LTD. (INVESTMENT)","BUY","19,58,000","950.10",
"06-JAN-2016","UBL","United Breweries Limited","UNITED BREWERIES (HOLDINGS) LIMITED","SELL","19,58,000","950.10",
"21-JAN-2016","GVKPIL","GVK Power & Infrastructur","G V SANJAY REDDY","SELL","4,16,50,000","7.60",
"21-JAN-2016","GVKPIL","GVK Power & Infrastructur","KRISHNARAM BHUPAL","SELL","73,50,000","7.60",
"21-JAN-2016","GVKPIL","GVK Power & Infrastructur","VERTEX PROJECTS LIMITED","BUY","4,90,00,000","7.60",
"02-FEB-2016","ENERGYDEV","Energy Development Compan","GANDEVI COMMERCE PVT LTD","BUY","10,00,000","44.10",
"02-FEB-2016","ENERGYDEV","Energy Development Compan","GATISHEEL TRADERS LLP","SELL","10,00,000","44.10",
"16-FEB-2016","MANAKSTEEL","Manaksia Steels Ltd","STUTI HARDWARE PRIVATE LIMITED","SELL","9,50,000","6.65",
"16-FEB-2016","MANAKSTEEL","Manaksia Steels Ltd","SURESH KUMAR AGRAWAL","BUY","9,50,000","6.65",
"25-FEB-2016","INDORAMA","Indo Rama Synthetics (Ind","ARUNA GOENKA","SELL","5,00,000","25.10",
"25-FEB-2016","INDORAMA","Indo Rama Synthetics (Ind","O P LOHIA","BUY","5,00,000","25.10",
"26-FEB-2016","BINDALAGRO","Oswal Chem & Fert Ltd.","AEON SUSTAINABLE GROWTH FUND","BUY","9,93,042","30.00",
"26-FEB-2016","BINDALAGRO","Oswal Chem & Fert Ltd.","DIVINE COMMUNICATION SYSTEMS PRIVATE LIMITED","SELL","9,93,042","30.00",
"01-MAR-2016","WOCKPHARMA","Wockhardt Ltd.","MANKEKAR LAXMI SHIVANAND","BUY","7,00,000","763.00",
"01-MAR-2016","WOCKPHARMA","Wockhardt Ltd.","MANKEKAR SHIVANAND S (HUF)","SELL","7,00,000","763.00",
"03-MAR-2016","SHYAMCENT","Shyam Century Ferrous Ltd","BRIJ BHUSHAN AGARWAL & SONS (HUF)","BUY","15,00,000","4.70",
"03-MAR-2016","SHYAMCENT","Shyam Century Ferrous Ltd","MAHABIR PRASAD AGARWAL & SONS (HUF)","BUY","90,00,000","4.70",
"03-MAR-2016","SHYAMCENT","Shyam Century Ferrous Ltd","NARANTAK DEALCOMM LTD.","SELL","1,05,00,000","4.70",
"04-MAR-2016","BERGEPAINT","Berger Paints (I) Ltd","CITLAND COMMERCIAL CREDIT LTD","SELL","2,40,000","239.00",
"04-MAR-2016","BERGEPAINT","Berger Paints (I) Ltd","U K PAINTS INDIA PVT LTD","BUY","2,40,000","239.00",
