"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"20-JAN-2021","GSFC","Gujarat State Fert Ltd.","FINQUEST SECURITIES PVT. LTD.","SELL","13,50,000","78.75",
"20-JAN-2021","GSFC","Gujarat State Fert Ltd.","HARDIK BHARAT PATEL","BUY","13,50,000","78.75",
"27-JAN-2021","HARITASEAT","Harita Seating Systems Li","HARITA LIMITED","BUY","10,87,600","514.00",
"27-JAN-2021","HARITASEAT","Harita Seating Systems Li","MARTIN GRAMMER","SELL","10,87,600","514.00",
"05-FEB-2021","EIHOTEL","EIH Ltd","OBEROI HOLDINGS PRIVATE LIMITED","SELL","65,90,110","93.10",
"05-FEB-2021","EIHOTEL","EIH Ltd","OBEROI HOTELS PVT. LTD.","BUY","65,90,110","93.10",
"08-FEB-2021","NBIFIN","N.B.I. Ind. Fin. Co. Ltd","ALKALOIDS PRIVATE LIMITED","SELL","65,000","1,650.00",
"08-FEB-2021","NBIFIN","N.B.I. Ind. Fin. Co. Ltd","MANNAKRISHNA INVESTMENTS PVT LTD","BUY","65,000","1,650.00",
"12-FEB-2021","EIHOTEL","EIH Ltd","OBEROI HOTELS PVT. LTD.","BUY","54,00,000","97.80",
"12-FEB-2021","EIHOTEL","EIH Ltd","OBEROI INVESTMENT PVT.LTD.","SELL","54,00,000","97.80",
"15-FEB-2021","SAFARI","Safari Ind (India) Ltd","MOTILAL OSWAL ASSET MANAGEMENT COMPANY LIMITED","BUY","6,10,000","540.00",
"15-FEB-2021","SAFARI","Safari Ind (India) Ltd","MOTILAL OSWAL EQUITY OPPORTUNITIES FUND","BUY","1,90,000","540.00",
"15-FEB-2021","SAFARI","Safari Ind (India) Ltd","TANO INDIA PRIVATE EQUITY FUND II","SELL","8,00,000","540.00",
"16-FEB-2021","MOTILALOFS","Motilal Oswal Financial S","MOTILAL OSWAL","SELL","3,34,900","601.00",
"16-FEB-2021","MOTILALOFS","Motilal Oswal Financial S","PASSIONATE INVESTMENT MANAGEMENT PRIVATE LIMITED","BUY","6,69,800","601.00",
"16-FEB-2021","MOTILALOFS","Motilal Oswal Financial S","RAAMDEO AGRAWAL","SELL","3,34,900","601.00",
"19-FEB-2021","EIHOTEL","EIH Ltd","OBEROI BLDG AND INVESTMENTS PVT. LTD.","SELL","33,00,000","98.00",
"19-FEB-2021","EIHOTEL","EIH Ltd","OBEROI HOTELS PVT. LTD.","BUY","33,00,000","98.00",
"03-MAR-2021","POLYPLEX","Polyplex Corporation Ltd.","SAKHI SARAF","BUY","3,25,000","796.25",
"03-MAR-2021","POLYPLEX","Polyplex Corporation Ltd.","SANJIV  SARAF","SELL","3,25,000","796.25",
"08-MAR-2021","MFSL","Max Fin Serv Ltd","MAX VENTURES INVESMENT HOLDINGS PRIVATE LIMITED","SELL","9,34,138","910.00",
"08-MAR-2021","MFSL","Max Fin Serv Ltd","NEW YORK LIFE INSURANCE COMPANY","BUY","9,34,138","910.00",
"16-MAR-2021","TEXINFRA","Texmaco Infra & Holdg Ltd","FILMQUEST ENTERTAIMENT PVT LTD","SELL","19,19,160","71.00",
